tweet_id,user_replied_tweet,timestamp,tweeted_source,tweet_text,tweet_page_source,retweeted,expanded_urls,rating_numerator,rating_denominator,rating_percent,name,dog_gender,dog_stage,jpg_url,img_num,is_dog,dog_breed,confidence,favorite_count,retweet_count
892420643555336193,0,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://t.co/MgUWQ76dJU,0,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,1.3,Phineas,Male,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,False,Orange,0.0970486,38446.0,8459.0
892177421306343426,0,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://t.co/0Xxu71qeIV,0,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,1.3,Tilly,Female,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,True,Chihuahua,0.323581,32948.0,6229.0
891815181378084864,0,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://t.co/wUnZnhtVJB,0,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,1.2,Archie,Male,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,True,Chihuahua,0.716012,24819.0,4129.0
891689557279858688,0,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://t.co/tD36da7qLQ,0,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,1.3,Darla,Female,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,True,Labrador Retriever,0.168086,41802.0,8586.0
891327558926688256,0,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://t.co/AtUZn91f7f,0,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,1.2,Franklin,Male,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,True,Basset,0.555712,39969.0,9316.0
891087950875897856,0,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://t.co/kQ04fDDRmh,0,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,1.3,,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,True,Chesapeake Bay Retriever,0.425595,20062.0,3087.0
890971913173991426,0,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,0,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,1.3,Jax,Male,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,True,Appenzeller,0.34170300000000003,11741.0,2053.0
890729181411237888,0,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://t.co/v0nONBcwxq,0,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,1.3,,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,True,Pomeranian,0.566142,64922.0,18770.0
890609185150312448,0,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://t.co/9TwLuAGH0b,0,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,1.3,Zoey,Female,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,True,Irish Terrier,0.487574,27576.0,4237.0
890240255349198849,0,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://t.co/t1bfwz5S2A,0,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,1.4,Cassie,Female,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,True,Pembroke,0.511319,31646.0,7349.0
